"geometry","file","degree","betweenness","closeness","component"
c(0.330698, 0.156124),"C5_011_calculations.json",1,0,1,30
c(0.543421, 0.974224),"C5_012_calculations.json",7,6,0.25,17
c(0.561308, 0.979167),"C5_012_calculations.json",4,0,0.142857142857143,17
c(0.543675, 0.956325),"C5_012_calculations.json",1,0,0.142857142857143,17
c(0.526042, 0.956576),"C5_012_calculations.json",1,0,0.142857142857143,17
c(0.635542, 0.97582),"C5_012_calculations.json",1,0,1,28
c(0.645582, 0.977912),"C5_012_calculations.json",1,0,1,28
c(0.635255, 0.968266),"C5_012_calculations.json",3,3,0.166666666666667,18
c(0.627711, 0.958099),"C5_012_calculations.json",4,5,0.2,18
c(0.656124, 0.963353),"C5_012_calculations.json",1,0,0.111111111111111,18
c(0.61178, 0.952644),"C5_012_calculations.json",1,0,0.125,18
c(0.626757, 0.947038),"C5_012_calculations.json",1,0,0.125,18
c(0.169009, 0.971888),"C5_012_calculations.json",1,0,1,29
c(0.179217, 0.966114),"C5_012_calculations.json",1,0,1,29
c(0.204246, 0.953385),"C5_012_calculations.json",3,7,0.142857142857143,13
c(0.217369, 0.948795),"C5_012_calculations.json",1,0,0.0909090909090909,13
c(0.218602, 0.961345),"C5_012_calculations.json",3,7,0.142857142857143,13
c(0.202644, 0.946118),"C5_012_calculations.json",1,0,1,30
c(0.193775, 0.932229),"C5_012_calculations.json",1,0,1,30
c(0.227912, 0.973896),"C5_012_calculations.json",1,0,0.0909090909090909,13
c(0.228414, 0.958835),"C5_012_calculations.json",1,0,0.0909090909090909,13
c(0.554217, 0.954819),"C5_012_calculations.json",1,0,0.142857142857143,19
c(0.561806, 0.931934),"C5_012_calculations.json",4,6,0.25,19
c(0.544679, 0.933066),"C5_012_calculations.json",1,0,0.142857142857143,19
c(0.550703, 0.920181),"C5_012_calculations.json",1,0,0.142857142857143,19
c(0.557444, 0.909782),"C5_012_calculations.json",1,0,0.142857142857143,19
c(0.538906, 0.93499),"C5_012_calculations.json",1,0,1,31
c(0.530371, 0.927209),"C5_012_calculations.json",1,0,1,31
c(0.772841, 0.909137),"C5_012_calculations.json",1,0,0.0909090909090909,14
c(0.780257, 0.901698),"C5_012_calculations.json",3,7,0.142857142857143,14
c(0.76988, 0.896988),"C5_012_calculations.json",1,0,0.0909090909090909,14
c(0.787776, 0.887425),"C5_012_calculations.json",3,7,0.142857142857143,14
c(0.802209, 0.899096),"C5_012_calculations.json",1,0,0.0909090909090909,14
c(0.767236, 0.89257),"C5_012_calculations.json",1,0,1,32
c(0.750502, 0.894076),"C5_012_calculations.json",1,0,1,32
c(0.78407, 0.838855),"C5_012_calculations.json",5,22,0.0909090909090909,9
c(0.797189, 0.85492),"C5_012_calculations.json",1,0,0.0555555555555556,9
c(0.801707, 0.842369),"C5_012_calculations.json",1,0,0.0555555555555556,9
c(0.758534, 0.823293),"C5_012_calculations.json",1,0,0.0555555555555556,9
c(0.809452, 0.855493),"C5_012_calculations.json",4,18,0.0833333333333333,9
c(0.806727, 0.838353),"C5_012_calculations.json",1,0,0.0526315789473684,9
c(0.823293, 0.860944),"C5_012_calculations.json",1,0,0.0526315789473684,9
c(0.816265, 0.854418),"C5_012_calculations.json",1,0,0.0526315789473684,9
c(0.434237, 0.842369),"C5_012_calculations.json",1,0,0.00735294117647059,1
c(0.417671, 0.808107),"C5_012_calculations.json",3,49,0.00900900900900901,1
c(0.441265, 0.797189),"C5_012_calculations.json",1,0,0.00735294117647059,1
c(0.411898, 0.796185),"C5_012_calculations.json",3,91,0.0111111111111111,1
c(0.392642, 0.793029),"C5_012_calculations.json",3,151,0.0136986301369863,1
c(0.423193, 0.796185),"C5_012_calculations.json",1,0,0.00869565217391304,1
c(0.398281, 0.782819),"C5_012_calculations.json",4,153,0.0131578947368421,1
c(0.379446, 0.794464),"C5_012_calculations.json",3,101,0.0128205128205128,1
c(0.374247, 0.780371),"C5_012_calculations.json",3,75,0.0123456790123457,1
c(0.384036, 0.808735),"C5_012_calculations.json",1,0,0.00970873786407767,1
c(0.357169, 0.790514),"C5_012_calculations.json",5,141,0.0120481927710843,1
c(0.398695, 0.767369),"C5_012_calculations.json",4,91,0.010989010989011,1
c(0.423695, 0.765311),"C5_012_calculations.json",3,25,0.0106382978723404,1
c(0.374163, 0.767403),"C5_012_calculations.json",3,69,0.0116279069767442,1
c(0.378012, 0.789659),"C5_012_calculations.json",1,0,0.00943396226415094,1
c(0.387383, 0.766064),"C5_012_calculations.json",3,49,0.00892857142857143,1
c(0.394411, 0.75502),"C5_012_calculations.json",1,0,0.00862068965517241,1
c(0.390311, 0.758283),"C5_012_calculations.json",1,0,0.0072992700729927,1
c(0.379769, 0.766566),"C5_012_calculations.json",1,0,0.0072992700729927,1
c(0.351406, 0.744478),"C5_012_calculations.json",1,0,0.00900900900900901,1
c(0.436245, 0.757028),"C5_012_calculations.json",1,0,0.00840336134453781,1
c(0.368976, 0.785141),"C5_012_calculations.json",1,0,0.00925925925925926,1
c(0.350402, 0.774096),"C5_012_calculations.json",1,0,0.00925925925925926,1
c(0.287651, 0.792671),"C5_012_calculations.json",4,69,0.00980392156862745,1
c(0.265813, 0.779869),"C5_012_calculations.json",3,49,0.00813008130081301,1
c(0.275602, 0.770582),"C5_012_calculations.json",1,0,0.00675675675675676,1
c(0.804217, 0.785141),"C5_012_calculations.json",1,0,1,33
c(0.793926, 0.736446),"C5_012_calculations.json",1,0,1,33
c(0.79739, 0.732129),"C5_012_calculations.json",1,0,0.0217391304347826,7
c(0.796812, 0.719629),"C5_012_calculations.json",3,21,0.0285714285714286,7
c(0.805924, 0.696235),"C5_012_calculations.json",3,35,0.0357142857142857,7
c(0.811747, 0.711345),"C5_012_calculations.json",1,0,0.0256410256410256,7
c(0.818831, 0.704652),"C5_012_calculations.json",3,35,0.04,7
c(0.815663, 0.69488),"C5_012_calculations.json",1,0,1,34
c(0.817269, 0.684739),"C5_012_calculations.json",1,0,1,34
c(0.832329, 0.690734),"C5_012_calculations.json",3,27,0.037037037037037,7
c(0.829317, 0.706553),"C5_012_calculations.json",4,21,0.0357142857142857,7
c(0.840863, 0.73996),"C5_012_calculations.json",1,0,0.0256410256410256,7
c(0.84323, 0.683878),"C5_012_calculations.json",3,21,0.0294117647058824,7
c(0.819779, 0.73745),"C5_012_calculations.json",1,0,1,35
c(0.833835, 0.758032),"C5_012_calculations.json",1,0,1,35
c(0.845444, 0.703062),"C5_012_calculations.json",1,0,0.0222222222222222,7
c(0.857492, 0.699172),"C5_012_calculations.json",1,0,0.0222222222222222,7
c(0.805221, 0.716867),"C5_012_calculations.json",1,0,0.0217391304347826,7
c(0.84488, 0.712751),"C5_012_calculations.json",1,0,1,36
c(0.848394, 0.726406),"C5_012_calculations.json",1,0,1,36
c(0.901481, 0.724868),"C5_012_calculations.json",4,6,0.25,20
c(0.879518, 0.735944),"C5_012_calculations.json",1,0,0.142857142857143,20
c(0.891064, 0.723896),"C5_012_calculations.json",1,0,0.142857142857143,20
c(0.911396, 0.722641),"C5_012_calculations.json",1,0,0.142857142857143,20
c(0.90738, 0.716491),"C5_012_calculations.json",1,0,0.142857142857143,20
c(0.912588, 0.711534),"C5_012_calculations.json",1,0,1,37
c(0.919679, 0.707831),"C5_012_calculations.json",1,0,1,37
c(0.99749, 0.697289),"C5_012_calculations.json",1,0,1,38
c(0.95256, 0.670181),"C5_012_calculations.json",1,0,1,38
c(0.946201, 0.666499),"C5_012_calculations.json",1,0,1,39
c(0.934237, 0.661145),"C5_012_calculations.json",1,0,1,39
c(0.938755, 0.658133),"C5_012_calculations.json",1,0,1,40
c(0.941265, 0.653614),"C5_012_calculations.json",1,0,1,40
c(0.500502, 0.684237),"C5_012_calculations.json",1,0,1,41
c(0.454016, 0.640261),"C5_012_calculations.json",1,0,1,41
c(0.44411, 0.625502),"C5_012_calculations.json",1,0,0.2,24
c(0.433484, 0.622113),"C5_012_calculations.json",3,3,0.333333333333333,24
c(0.426205, 0.59739),"C5_012_calculations.json",1,0,0.2,24
c(0.861345, 0.673193),"C5_012_calculations.json",1,0,0.0192307692307692,5
c(0.861898, 0.65994),"C5_012_calculations.json",4,13,0.0256410256410256,5
c(0.877215, 0.662149),"C5_012_calculations.json",5,53,0.032258064516129,5
c(0.86998, 0.649473),"C5_012_calculations.json",4,25,0.0263157894736842,5
c(0.881526, 0.651104),"C5_012_calculations.json",1,0,0.0227272727272727,5
c(0.889558, 0.654242),"C5_012_calculations.json",3,55,0.0333333333333333,5
c(0.906124, 0.663655),"C5_012_calculations.json",1,0,0.0232558139534884,5
c(0.866968, 0.629769),"C5_012_calculations.json",1,0,0.2,25
c(0.858183, 0.603665),"C5_012_calculations.json",3,3,0.333333333333333,25
c(0.820281, 0.604418),"C5_012_calculations.json",1,0,0.2,25
c(0.920474, 0.629644),"C5_012_calculations.json",5,52,0.0303030303030303,5
c(0.942269, 0.643072),"C5_012_calculations.json",1,0,0.0217391304347826,5
c(0.931225, 0.631024),"C5_012_calculations.json",1,0,0.0217391304347826,5
c(0.92336, 0.618976),"C5_012_calculations.json",4,25,0.0238095238095238,5
c(0.938253, 0.605422),"C5_012_calculations.json",1,0,0.0181818181818182,5
c(0.702811, 0.574799),"C5_012_calculations.json",1,0,1,42
c(0.697841, 0.562349),"C5_012_calculations.json",1,0,1,42
c(0.402359, 0.463353),"C5_012_calculations.json",1,0,1,43
c(0.426958, 0.464608),"C5_012_calculations.json",1,0,1,43
c(0.375753, 0.439006),"C5_012_calculations.json",3,31,0.0434782608695652,8
c(0.385542, 0.441014),"C5_012_calculations.json",3,35,0.0476190476190476,8
c(0.360442, 0.421185),"C5_012_calculations.json",3,19,0.0344827586206897,8
c(0.384538, 0.451807),"C5_012_calculations.json",1,0,0.032258064516129,8
c(0.383032, 0.404618),"C5_012_calculations.json",1,0,0.0256410256410256,8
c(0.76757, 0.440261),"C5_012_calculations.json",1,0,0.0909090909090909,15
c(0.814843, 0.418758),"C5_012_calculations.json",3,7,0.142857142857143,15
c(0.80384, 0.412902),"C5_012_calculations.json",3,7,0.142857142857143,15
c(0.824799, 0.418675),"C5_012_calculations.json",1,0,0.0909090909090909,15
c(0.810241, 0.402108),"C5_012_calculations.json",1,0,0.0909090909090909,15
c(0.409806, 0.414324),"C5_012_calculations.json",1,0,0.0303030303030303,8
c(0.406124, 0.403363),"C5_012_calculations.json",5,34,0.0434782608695652,8
c(0.403112, 0.390562),"C5_012_calculations.json",1,0,0.0303030303030303,8
c(0.394076, 0.391566),"C5_012_calculations.json",1,0,0.0303030303030303,8
c(0.399096, 0.413153),"C5_012_calculations.json",1,0,0.0303030303030303,8
c(0.40738, 0.385542),"C5_012_calculations.json",1,0,1,44
c(0.412483, 0.375),"C5_012_calculations.json",1,0,1,44
c(0.899598, 0.370231),"C5_012_calculations.json",1,0,0.0526315789473684,10
c(0.915161, 0.355422),"C5_012_calculations.json",3,11,0.0769230769230769,10
c(0.943976, 0.346586),"C5_012_calculations.json",3,15,0.0909090909090909,10
c(0.912651, 0.327309),"C5_012_calculations.json",1,0,0.0526315789473684,10
c(0.95758, 0.337098),"C5_012_calculations.json",3,11,0.0769230769230769,10
c(0.919177, 0.334839),"C5_012_calculations.json",1,0,0.0588235294117647,10
c(0.967369, 0.3499),"C5_012_calculations.json",1,0,0.0526315789473684,10
c(0.973896, 0.357179),"C5_012_calculations.json",1,0,1,45
c(0.98494, 0.349398),"C5_012_calculations.json",1,0,1,45
c(0.946787, 0.31501),"C5_012_calculations.json",1,0,0.0105263157894737,2
c(0.944277, 0.300452),"C5_012_calculations.json",3,39,0.0133333333333333,2
c(0.958995, 0.288335),"C5_012_calculations.json",4,71,0.0169491525423729,2
c(0.961847, 0.305723),"C5_012_calculations.json",1,0,0.0126582278481013,2
c(0.969664, 0.2642),"C5_012_calculations.json",6,44.3333333333333,0.0178571428571429,2
c(0.957957, 0.260919),"C5_012_calculations.json",4,57.3333333333333,0.0181818181818182,2
c(0.963353, 0.246988),"C5_012_calculations.json",3,94.6666666666667,0.0204081632653061,2
c(0.945783, 0.224297),"C5_012_calculations.json",1,0,0.0133333333333333,2
c(0.982819, 0.254375),"C5_012_calculations.json",7,106.666666666667,0.02,2
c(0.953313, 0.220023),"C5_012_calculations.json",4,87,0.0169491525423729,2
c(0.987048, 0.230422),"C5_012_calculations.json",3,39,0.0151515151515152,2
c(0.985442, 0.242972),"C5_012_calculations.json",1,0,0.0142857142857143,2
c(0.986948, 0.276104),"C5_012_calculations.json",1,0,0.0142857142857143,2
c(0.998494, 0.239458),"C5_012_calculations.json",1,0,0.0142857142857143,2
c(0.997992, 0.217871),"C5_012_calculations.json",1,0,0.0116279069767442,2
c(0.997992, 0.234438),"C5_012_calculations.json",1,0,0.0116279069767442,2
c(0.944026, 0.217118),"C5_012_calculations.json",1,0,0.0126582278481013,2
c(0.946536, 0.212851),"C5_012_calculations.json",1,0,0.0126582278481013,2
c(0.967495, 0.1907),"C5_012_calculations.json",3,39,0.0133333333333333,2
c(0.975904, 0.184739),"C5_012_calculations.json",1,0,0.0105263157894737,2
c(0.327477, 0.237282),"C5_012_calculations.json",1,0,0.0769230769230769,12
c(0.3, 0.232932),"C5_012_calculations.json",4,12,0.125,12
c(0.3125, 0.198293),"C5_012_calculations.json",1,0,0.0769230769230769,12
c(0.273343, 0.237952),"C5_012_calculations.json",3,9,0.111111111111111,12
c(0.283886, 0.243725),"C5_012_calculations.json",1,0,0.0769230769230769,12
c(0.253514, 0.233936),"C5_012_calculations.json",1,0,0.0714285714285714,12
c(0.314759, 0.184739),"C5_012_calculations.json",1,0,0.0158730158730159,3
